"date","Province","Cases","Deaths","Recovered","Tests","...7","...8","...9"
2020-03-31,"BARA",7,0,0,0,NA,NA,NA
2020-03-31,"DJBON",1,0,0,0,NA,NA,NA
2020-03-31,"DTE",101,23,0,0,NA,NA,NA
2020-03-31,"EP",0,0,0,0,NA,NA,NA
2020-03-31,"SEIBO",1,1,0,0,NA,NA,NA
2020-03-31,"ESP",28,0,0,0,NA,NA,NA
2020-03-31,"IND",1,0,0,0,NA,NA,NA
2020-03-31,"ALT",32,0,0,0,NA,NA,NA
2020-03-31,"ROM",24,0,0,0,NA,NA,NA
2020-03-31,"VEGA",84,2,0,0,NA,NA,NA
2020-03-31,"MTS",6,1,0,0,NA,NA,NA
2020-03-31,"MC",2,0,0,0,NA,NA,NA
2020-03-31,"PED",1,0,0,0,NA,NA,NA
2020-03-31,"PERV",4,0,0,0,NA,NA,NA
2020-03-31,"PPLATA",28,0,0,0,NA,NA,NA
2020-03-31,"MIRABAL",15,0,0,0,NA,NA,NA
2020-03-31,"SAM",13,1,0,0,NA,NA,NA
2020-03-31,"SCBAL",21,1,0,0,NA,NA,NA
2020-03-31,"SJUAN",7,2,0,0,NA,NA,NA
2020-03-31,"SPM",20,3,0,0,NA,NA,NA
2020-03-31,"SRAM",13,2,0,0,NA,NA,NA
2020-03-31,"STGO",138,2,0,0,NA,NA,NA
2020-03-31,"SROD",2,0,0,0,NA,NA,NA
2020-03-31,"VALV",8,0,0,0,NA,NA,NA
2020-03-31,"NOUEL",27,1,0,0,NA,NA,NA
2020-03-31,"MPLATA",2,1,0,0,NA,NA,NA
2020-03-31,"HMAYOR",3,0,0,0,NA,NA,NA
2020-03-31,"OCOA",0,0,0,0,NA,NA,NA
2020-03-31,"SD",168,6,0,0,NA,NA,NA
2020-04-01,"DN",535,11,0,0,NA,NA,NA
2020-04-01,"AZUA",7,0,0,0,NA,NA,NA
2020-04-01,"BAO",0,0,0,0,NA,NA,NA
2020-04-01,"BARA",11,0,0,0,NA,NA,NA
2020-04-01,"DJBON",1,0,0,0,NA,NA,NA
2020-04-01,"DTE",110,24,0,0,NA,NA,NA
2020-04-01,"EP",0,0,0,0,NA,NA,NA
2020-04-01,"SEIBO",1,0,0,0,NA,NA,NA
2020-04-01,"ESP",28,0,0,0,NA,NA,NA
2020-04-01,"IND",1,0,0,0,NA,NA,NA
2020-04-01,"ALT",35,0,0,0,NA,NA,NA
2020-04-01,"ROM",28,1,0,0,NA,NA,NA
2020-04-01,"VEGA",88,2,0,0,NA,NA,NA
2020-04-01,"MTS",8,1,0,0,NA,NA,NA
